Volume,District,Pages,File size,Publishing year,Reference
1,"1,2",158,42.91 MB,1927,Salzberg (1927). Haeuser-Kataster der Bundeshauptstadt Wien. I. Band: I. + II. Bezirk.  M. Perles: Wien
2,"3,4",151,40.10 MB,1929,Salzberg (1929). Haeuser-Kataster der Bundeshauptstadt Wien. II. Band: III. + IV. Bezirk.  M. Perles: Wien
3,"5,6,7",175,46.36 MB,1929,Salzberg (1929). Haeuser-Kataster der Bundeshauptstadt Wien. III. Band: V., VI. und VII. Bezirk.  M. Perles: Wien
4,"8,9",112,30.33 MB,1930,Salzberg (1930). Haeuser-Kataster der Bundeshauptstadt Wien. IV. Band: VIII. und IX. Bezirk.  M. Perles: Wien
5,"10,11",153,42.98 MB,1928,Salzberg (1928). Haeuser-Kataster der Bundeshauptstadt Wien. V. Band: X. und XI. Bezirk.  M. Perles: Wien
6,"12,13",276,77.08 MB,1928,Salzberg (1928). Haeuser-Kataster der Bundeshauptstadt Wien. VII. Band: XII. und XIII. Bezirk.  M. Perles: Wien
7,"14,15",99,28.47 MB,1928,Salzberg (1928). Haeuser-Kataster der Bundeshauptstadt Wien. VII. Band: XIV. und XV. Bezirk.  M. Perles: Wien
8,"16,17",206,59.40 MB,1928,Salzberg (1928). Haeuser-Kataster der Bundeshauptstadt Wien. VIII. Band: XVI. und XVII. Bezirk.  M. Perles: Wien
9,"18,19",243,65.10 MB,1928,Salzberg (1928). Haeuser-Kataster der Bundeshauptstadt Wien. IX. Band: XVIII. und XIV. Bezirk.  M. Perles: Wien
10,"20,21",187,54.04 MB,1929,Salzberg (1929). Haeuser-Kataster der Bundeshauptstadt Wien. X. Band: XX. und XXI. Bezirk.  M. Perles: Wien
